 622   Scan angles: step 30 (+-1)
   0   0   0
  30   0   0
  60   0   0
  90   0   0
 120   0   0
 150   0   0
 180   0   0
 210   0   0
 240   0   0
 270   0   0
 300   0   0
 330   0   0
  15  26   0
  45  26   0
  75  26   0
 105  26   0
 135  26   0
 165  26   0
 195  26   0
 225  26   0
 255  26   0
 285  26   0
 315  26   0
 345  26   0
   0  52   0
  30  52   0
  60  52   0
  90  52   0
 120  52   0
 150  52   0
 180  52   0
 210  52   0
 240  52   0
 270  52   0
 300  52   0
 330  52   0
  15  78   0
  45  78   0
  75  78   0
 105  78   0
 135  78   0
 165  78   0
 195  78   0
 225  78   0
 255  78   0
 285  78   0
 315  78   0
 345  78   0
   0 104   0
  30 104   0
  60 104   0
  90 104   0
 120 104   0
 150 104   0
 180 104   0
 210 104   0
 240 104   0
 270 104   0
 300 104   0
 330 104   0
  15 130   0
  45 130   0
  75 130   0
 105 130   0
 135 130   0
 165 130   0
 195 130   0
 225 130   0
 255 130   0
 285 130   0
 315 130   0
 345 130   0
   0 156   0
  30 156   0
  60 156   0
  90 156   0
 120 156   0
 150 156   0
 180 156   0
 210 156   0
 240 156   0
 270 156   0
 300 156   0
 330 156   0
  18 179  13
  48 179  13
  78 179  13
 108 179  13
 138 179  13
 168 179  13
 198 179  13
 228 179  13
 258 179  13
 288 179  13
 318 179  13
 348 179  13
  17   8  25
  47   8  25
  77   8  25
 107   8  25
 137   8  25
 167   8  25
 197   8  25
 227   8  25
 257   8  25
 287   8  25
 317   8  25
 347   8  25
  12  42  25
  42  42  25
  72  42  25
 102  42  25
 132  42  25
 162  42  25
 192  42  25
 222  42  25
 252  42  25
 282  42  25
 312  42  25
 342  42  25
   2  86  25
  32  86  25
  62  86  25
  92  86  25
 122  86  25
 152  86  25
 182  86  25
 212  86  25
 242  86  25
 272  86  25
 302  86  25
 332  86  25
  27 120  25
  57 120  25
  87 120  25
 117 120  25
 147 120  25
 177 120  25
 207 120  25
 237 120  25
 267 120  25
 297 120  25
 327 120  25
 357 120  25
  18 153  28
  48 153  28
  78 153  28
 108 153  28
 138 153  28
 168 153  28
 198 153  28
 228 153  28
 258 153  28
 288 153  28
 318 153  28
 348 153  28
  19 179  44
  49 179  44
  79 179  44
 109 179  44
 139 179  44
 169 179  44
 199 179  44
 229 179  44
 259 179  44
 289 179  44
 319 179  44
 349 179  44
   8  62  46
  38  62  46
  68  62  46
  98  62  46
 128  62  46
 158  62  46
 188  62  46
 218  62  46
 248  62  46
 278  62  46
 308  62  46
 338  62  46
   2 105  49
  32 105  49
  62 105  49
  92 105  49
 122 105  49
 152 105  49
 182 105  49
 212 105  49
 242 105  49
 272 105  49
 302 105  49
 332 105  49
  26   0  51
  56   0  51
  86   0  51
 116   0  51
 146   0  51
 176   0  51
 206   0  51
 236   0  51
 266   0  51
 296   0  51
 326   0  51
 356   0  51
  20 143  67
  50 143  67
  80 143  67
 110 143  67
 140 143  67
 170 143  67
 200 143  67
 230 143  67
 260 143  67
 290 143  67
 320 143  67
 350 143  67
  11  49  72
  41  49  72
  71  49  72
 101  49  72
 131  49  72
 161  49  72
 191  49  72
 221  49  72
 251  49  72
 281  49  72
 311  49  72
 341  49  72
  19  71  99
  49  71  99
  79  71  99
 109  71  99
 139  71  99
 169  71  99
 199  71  99
 229  71  99
 259  71  99
 289  71  99
 319  71  99
 349  71  99
  28 127 120
  58 127 120
  88 127 120
 118 127 120
 148 127 120
 178 127 120
 208 127 120
 238 127 120
 268 127 120
 298 127 120
 328 127 120
 358 127 120
   3  37 124
  33  37 124
  63  37 124
  93  37 124
 123  37 124
 153  37 124
 183  37 124
 213  37 124
 243  37 124
 273  37 124
 303  37 124
 333  37 124
  21  78 132
  51  78 132
  81  78 132
 111  78 132
 141  78 132
 171  78 132
 201  78 132
 231  78 132
 261  78 132
 291  78 132
 321  78 132
 351  78 132
  25 143 144
  55 143 144
  85 143 144
 115 143 144
 145 143 144
 175 143 144
 205 143 144
 235 143 144
 265 143 144
 295 143 144
 325 143 144
 355 143 144
  25 107 147
  55 107 147
  85 107 147
 115 107 147
 145 107 147
 175 107 147
 205 107 147
 235 107 147
 265 107 147
 295 107 147
 325 107 147
 355 107 147
  14  32 150
  44  32 150
  74  32 150
 104  32 150
 134  32 150
 164  32 150
 194  32 150
 224  32 150
 254  32 150
 284  32 150
 314  32 150
 344  32 150
  28  65 156
  58  65 156
  88  65 156
 118  65 156
 148  65 156
 178  65 156
 208  65 156
 238  65 156
 268  65 156
 298  65 156
 328  65 156
 358  65 156
   5 131 168
  35 131 168
  65 131 168
  95 131 168
 125 131 168
 155 131 168
 185 131 168
 215 131 168
 245 131 168
 275 131 168
 305 131 168
 335 131 168
   4  93 170
  34  93 170
  64  93 170
  94  93 170
 124  93 170
 154  93 170
 184  93 170
 214  93 170
 244  93 170
 274  93 170
 304  93 170
 334  93 170
   1  41 175
  31  41 175
  61  41 175
  91  41 175
 121  41 175
 151  41 175
 181  41 175
 211  41 175
 241  41 175
 271  41 175
 301  41 175
 331  41 175
  14  68 182
  44  68 182
  74  68 182
 104  68 182
 134  68 182
 164  68 182
 194  68 182
 224  68 182
 254  68 182
 284  68 182
 314  68 182
 344  68 182
  21 152 184
  51 152 184
  81 152 184
 111 152 184
 141 152 184
 171 152 184
 201 152 184
 231 152 184
 261 152 184
 291 152 184
 321 152 184
 351 152 184
  18 113 188
  48 113 188
  78 113 188
 108 113 188
 138 113 188
 168 113 188
 198 113 188
 228 113 188
 258 113 188
 288 113 188
 318 113 188
 348 113 188
   3  14 189
  33  14 189
  63  14 189
  93  14 189
 123  14 189
 153  14 189
 183  14 189
 213  14 189
 243  14 189
 273  14 189
 303  14 189
 333  14 189
  16  41 201
  46  41 201
  76  41 201
 106  41 201
 136  41 201
 166  41 201
 196  41 201
 226  41 201
 256  41 201
 286  41 201
 316  41 201
 346  41 201
  24  85 203
  54  85 203
  84  85 203
 114  85 203
 144  85 203
 174  85 203
 204  85 203
 234  85 203
 264  85 203
 294  85 203
 324  85 203
 354  85 203
  18 173 206
